CID,SMILES
100000305,C[C@](CNC(=O)C(=O)NC1=CC=C(C=C1)OC(F)(F)F)(C2=CC3=CC=CC=C3O2)O
100000311,COC[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=O)O
100000312,COC1=NC=C(C=C1)[C@@H](C2CC(C2)O)NC(=O)C3=C(C=CC=N3)O
100000338,C1[C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=O)O
100000401,CC(C)(C)OC(=O)N[C@@]1(C[C@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C=O
100000444,CC1=C(C=C(C=C1)[C@H](C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl)C
100000450,C1[C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=S)N
100000453,CC[C@@H](C1=CC(=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl
100000564,COC1=CC=C(C=C1)N2C[C@]34C=C[C@@H](O3)[C@H]([C@H]4C2=O)C(=O)O
100000581,CN1C2=CC=CC=C2C=C(C1=O)[C@@H]3CC(=O)OC4=C3C5=C(C=C4)C(=O)/C(=C/C6=C(C(=CC=C6)OC)OC)/O5
100000596,CS(=O)(=O)[C@H]1[C@H]([C@@H]1C2=CC=CC=C2)C#N
100000598,CC1=CC2=C([C@H](CC(=O)O2)C3=C(C(=CC=C3)OC)OCCC4=CC=CC=C4)C(=O)O1
100000612,CC(C)N1C=C(N=C1)S(=O)(=O)NC[C@]2(CCCC3=C2C=CC(=C3)OC)O
100000679,CC1=CC(=NN1CCCC(=O)N2CCC[C@@H]2C3=CC=CC=C3OC)C
100000681,CC1=C(C=CC=C1Cl)NC(=O)C(=O)NC[C@@]2(CCCC3=C2C=CC(=C3)OC)O
100000698,COC1=CC2=C(C=C1)[C@](CCC2)(CNC(=O)C(=O)NCC3=CC4=C(C=C3)OCO4)O
100000699,CS(=O)(=O)[C@@H]1[C@@H]([C@@]1(CN)C(=O)O)C2=CC=CC=C2
100000700,COC1=CC=C(C=C1)CCOC2=C(C=C(C=C2)[C@@H](CC(=O)OC)C3=C(C(=O)C=C(O3)CN4C[C@@H]5C[C@H](C4)C6=CC=CC(=O)N6C5)O)OC
100000727,CN(CC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)C(=O)CSCC3=CC=CC=C3
100000738,C1CCN2C[C@H]3C[C@@H]([C@@H]2C1)C=C4[C@H]3N(CCC4)C(=O)CC5=CC(=C(C=C5F)F)F
100000750,C=CCN1C[C@H](CC1=O)C(=O)NCCCC2=CC=NC=C2
100000753,COC[C@@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)CN
100000767,COC1=C(C2=C(C=C1)[C@H]3N(C(=O)C4=CC=CC=C4N3C2=O)CCCC(=O)NCC5=CC=CC=C5)OC
100000772,COC1=CC2=C(C=C1)[C@@](CCC2)(CNC(=O)NC3=CC=CC=C3C(F)(F)F)O
100000774,CC1=CC(=C(C=C1)C)[C@@H](C)NC(=O)CSCC2=CC=CC=C2C
100000785,CS(=O)(=O)[C@@H]1[C@H](C1(CO)CO)C2=CC=CC=C2
100000813,CC1=CC=CC=C1CSCC(=O)NCCCC2=CC(=CC=C2)OC(C)C
100000815,CS(=O)(=O)[C@H]1[C@@H]([C@]1(CO)N)C2=CC=CC=C2
100000838,CC1=CC(=C(C(=O)N1CCC2=CC=C(C=C2)O)[C@@H](CC(=O)OC)C3=CC=NC4=CC=CC=C34)O
100000853,COC[C@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)C(=O)O
100000861,CC1CCN(CC1)C2=CC=C(C=C2)[C@H](C)NC(=O)CSCC3=CC=CC=C3C
100000888,C1[C@@H](C2=C(C=CC3=C2O/C(=C\C4=CN=CC=C4)/C3=O)OC1=O)C5=CC=CC=C5
100000896,CC1=CC=CC=C1CSCC(=O)N[C@@H]2CC(OC3=C2C=CC(=C3)OC)(C)C
100000923,COC[C@@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)C(=S)N
100000937,CC1=CC(=CC=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC=CC=C3C
100000942,CS(=O)(=O)[C@H]1[C@H]([C@H]1C(=S)N)C2=CC=CC=C2
100000946,CS(=O)(=O)[C@H]1[C@H]([C@@H]1C(=S)N)C2=CC=CC=C2
100000948,CC1=C(SC(=N1)C2=CC=C(C=C2)OC)C(=O)N3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4
100000951,CC1=CC=CC=C1CSCC(=O)NCC2=NC(=NO2)C3=C(C=C(C=C3)OC)OC
100001003,CCS(=O)(=O)[C@@H]1[C@@H]([C@@]1(CO)C#N)C2=CC=CC=C2
100001054,CC1=CC=C(C=C1)CSCC(=O)NC2=CC=C(C=C2)OC3CCCC3
100001065,CCS(=O)(=O)[C@H]1[C@H]([C@@H]1C2=CC=CC=C2)C#N
100001071,CCS(=O)(=O)[C@H]1[C@@H]([C@@H]1C2=CC=CC=C2)C#N
100001084,CC[C@H](C1=CC=NC=C1)NC(=O)CN2C=NC(=C2C)C
100001125,CC(C)C[C@H](C1=CN=CC=C1)NC(=O)CC2=CC=CC=C2C(F)(F)F
100001130,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC=C(C=C4)OCC(C)C
100001134,CC1=CC=C(C=C1)CSCC(=O)N[C@@H](C)C2=CC(=C(C=C2)C)C
100001206,CC1=CC(=C(C(=O)O1)[C@H](CC(=O)OC)C2=CC(=C(C=C2OC)OC)OC)O
100001301,CC1=CC2=C([C@@H](CC(=O)O2)C3=COC4=C(C3=O)C=C(C=C4)Cl)C(=O)O1
100001546,COC1=CC=C(C=C1)CCCNC(=O)CSCC2=CC(=CC=C2)Cl
100001690,COC1=CC=C(C=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC(=CC=C3)Cl
100001727,CC[C@@H](CN1C=CN=C1)NC(=O)CCC2=C(NC(=O)N=C2C)C
100001775,COC1=CC=CC=C1CCCNC(=O)CSCC2=CC=C(C=C2)Cl
100001798,C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=CC=C3)C(=S)N
100001805,C1=CC=C(C=C1)[C@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=CC=C3)C=O
100001875,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@@]2(C#N)C(=O)O)C3=CC=CC=C3
100001971,C1CN(CCC1O)C2=NC(=NC=C2)N[C@@H](C3CC(C3)O)C4=CC=CC=N4
100001972,CCOC(=O)[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=CC=C3)N
100001978,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H](C2(CN)CN)C3=CC=CC=C3
100001983,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H](C2(CN)CN)C3=CC=CC=C3
100001986,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H](C2(CN)CN)C3=CC=CC=C3
100001990,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H]([C@@]2(CN)CO)C3=CC=CC=C3
100001993,CC(C)C[C@H]1CC(=O)OC2=C1C3=C(C=C2)C(=O)/C(=C/C4=CN=CC=C4)/O3
100002019,C1CC2(CCC1N[C@@H](CC3=CC=CC=N3)C4CC(C4)O)CCNCC2
100002021,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@]2(CN)N)C3=CC=CC=C3
100002022,CN(C)S(=O)(=O)C1=CC2=C(C=C1)N(CC2)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002082,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@@H]2C3=CC=CC=C3)CN
100002083,CC(C)C1=CC=C(C=C1)[C@@H](CC(=O)OC)C2=C(C(=O)C=C(O2)CN3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4)O
100002085,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H](C2(CO)CO)C3=CC=CC=C3
100002088,CC(C)OC1=CC=CC(=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
100002092,CC(C)OC1=CC=C(C=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
100002094,CC1=C(N(N=C1C)CCC(=O)NC[C@@H]2CCCN(C2)C3=CC=CC=N3)C
100002099,CN1C=C(C2=CC=CC=C21)CC(=O)N3CCCC4=C[C@H]5C[C@@H]([C@@H]43)CN6[C@H]5CCCC6
100002118,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@]2(CO)N)C3=CC=CC=C3
100002123,COC1=C(C=C(C=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-])OC
100002130,CC1=CC=CC=C1OC[C@H](C)NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
100002133,CC1=CC=C(C=C1)OC[C@@H](C)NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
100002140,CC1CCN(CC1)C2=CC=C(C=C2)[C@@H](C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002141,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@]2(C(=O)O)N)C3=CC=CC=C3
100002142,C1C[C@H](N(C1)C(=O)C2=CC=C(C=C2)CSC3=CC=CC=N3)C4=CC=CC=N4
100002145,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@]2(C(=O)O)N)C3=CC=CC=C3
100002148,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@]2(COC)C(=O)O)C3=CC=CC=C3
100002153,CC1=NN(C=C1Cl)CC(=O)N[C@@H](C2CC(C2)O)C3=C(C=C(C=C3)F)F
100002156,COC1=CC=CC(=C1OC)/C=C\2/C(=O)C3=C(O2)C4=C(C=C3)OC(=O)C[C@@H]4C5=C(C(=CC=C5)OC)OCCC6=CC7=C(C=C6)OCC7
100002159,CC1=CC2=C([C@@H](CC(=O)O2)C3=CC4=CC=CC=C4N(C3=O)CC(C)C)C(=O)O1
100002160,CC1=CC2=C(C=C1)[C@H](CC(O2)(C)C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002161,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@H]2C(=O)O)C3=CC=CC=C3
100002162,CC1=CC2=C([C@H](CC(=O)O2)C3=CC4=CC=CC=C4N(C3=O)CC(C)C)C(=O)O1
100002163,CC1=CC2=C(C=C1)[C@@H](CC(O2)(C)C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002168,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC(=C(C=C4)OCC(=O)OC)OC
100002170,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H]([C@@H]2C(=O)O)C3=CC=CC=C3
100002171,C1[C@H]2CN(C[C@@H]1C3=CC=CC(=O)N3C2)C(=O)C4=NNC(=C4)C5=CC=C(S5)Br
100002173,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@@]2(COC)N)C3=CC=CC=C3
100002177,COC1=NC=C(C=C1)[C@H](C2CC(C2)O)NC(=O)CN3C=CC(=O)NC3=O
100002179,COC1=C(C(=C(C=C1)[C@H]2CC(=O)OC3=C2C4=C(C=C3)C(=O)/C(=C\C5=CC(=C(C=C5OC)OC)OC)/O4)OC)OC
100002182,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@]2(COC)N)C3=CC=CC=C3
100002187,CC1=C(C(=NN1C)C)NC(=O)CNC2=CC=C3C(=CC2=O)[C@H](CCC4=CC(=C(C(=C43)OC)OC)OC)NC(=O)C
100002215,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@]2(C=O)NC(=O)OC(C)(C)C)C3=CC=CC=C3
100002216,COC1=NC=C(C=C1)[C@@H](C2CC(C2)O)NC(=O)CN3CCOCC3
100002232,C1CCC2(CC1)CC(=O)C3=C(O2)C4=C(C=C3)OC(=O)C[C@@H]4C5=CC=C(C=C5)O
100002244,CC1=CC(=CC=C1)C2=NOC(=N2)CN(C)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002249,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H]([C@H]2C(=S)N)C3=CC=CC=C3
100002250,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@@H]2C(=S)N)C3=CC=CC=C3
100002265,COC1=CC=C(C=C1)/C=C\2/C(=O)C3=C(O2)C4=C(C=C3)OC(=O)C[C@H]4C5=CC(=CC=C5)OCCC6=CC7=C(C=C6)OCC7
100002266,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@@H]2C3=CC=CC=C3)C=O
100002267,COC1=CC=C(C=C1)/C=C\2/C(=O)C3=C(O2)C4=C(C=C3)OC(=O)C[C@@H]4C5=CC(=CC=C5)OCCC6=CC7=C(C=C6)OCC7
100002269,CN(CC1=NC(=NO1)C2=CC=CS2)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
100002274,C1=CC=C(C=C1)[C@@H]2[C@@H](C2(C#N)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002284,CC1=CC2=C([C@H](CC(=O)O2)C3=C(C(=C(C=C3)OC)OC)OC)C(=O)O1
100002307,CC[C@H](C1=CC=CC(=N1)C)NC(=O)C2=C(C(=CC=C2)O)C
100002308,C1=CC=C(C=C1)[C@@H]2[C@@H]([C@]2(CO)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002311,C1=CC=C(C=C1)[C@@H]2[C@@H]([C@@]2(CO)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002315,COC(=O)C[C@H](C1=CC=C(C=C1)C(=O)O)C2=CC3=C(C=C2O)OCO3
100002337,C[C@@H](C1=NC(=NO1)CCOC)NC(=O)C2=C(C=NC=C2)O
100002341,COC1=CC2=C(C=C1)C=C(C(=O)N2)[C@@H]3CC(=O)OC4=CC(=C(C(=C34)OC)OC)OC
100002344,COC1=CC2=C(C=C1)C=C(C(=O)N2)[C@H]3CC(=O)OC4=CC(=C(C(=C34)OC)OC)OC
100002345,C[C@H](C(=O)NCCCC1=CC=C(C=C1)OC)SC2=CC=CC=C2
100002349,COC[C@@]1([C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C#N
100002350,COC(=O)C[C@@H](C1=CC2=C(C=C1)OCCO2)C3=C(C(=O)C=C(O3)CN4C[C@@H]5C[C@H](C4)C6=CC=CC(=O)N6C5)O
100002351,COC[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C#N
100002366,CCOC[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C#N
100002367,C[C@H](C(=O)NC1=CC=CC=C1C(=O)C2=CC=CC=C2)SC3=CC=CC=C3
100002369,CCOC[C@@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C#N
100002391,C[C@H](C(=O)NC1=CC=C(C=C1)OC2CCCC2)SC3=CC=CC=C3
100002405,CCOC(=O)[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)CN
100002431,CC1=CC=CC=C1OC[C@H](C)NC(=O)[C@H](C)SC2=CC=CC=C2
100002435,C1=CC=C(C=C1)[C@H]2[C@H](C2(CN)CN)S(=O)(=O)C3=CC=C(C=C3)Cl
100002441,C1C(CC1O)[C@H](CC2=CC=CC=N2)NC(=O)C3=NNC4=CC=CC=C43
100002442,CC1=CC=C(C=C1)OC[C@@H](C)NC(=O)[C@H](C)SC2=CC=CC=C2
100002443,C1=CC=C(C=C1)[C@@H]2[C@@H]([C@@]2(CN)CO)S(=O)(=O)C3=CC=C(C=C3)Cl
100002462,C1=CC=C(C=C1)[C@H]2[C@@H]([C@]2(CN)C(=O)O)S(=O)(=O)C3=CC=C(C=C3)Cl
100002471,COC1=C(C=C(C=C1)[C@@H](CC(=O)OC)C2=CC3=C(C=C2O)OCO3)OC
100002474,C1=CC=C(C=C1)[C@H]2[C@@H]([C@@]2(CN)N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002476,CC1=CC2=C(C=C1)OC(C[C@H]2NC(=O)[C@@H](C)SC3=CC=CC=C3)(C)C
100002477,CC1=NC(=NN1)SCCNC(=O)[C@H]2CC(=O)N(C2)C3=CC(=CC=C3)F
100002478,CC(C)(C)OC(=O)N[C@]1([C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)CN
100002479,CC1=CC2=C(C=C1)OC(C[C@@H]2NC(=O)[C@H](C)SC3=CC=CC=C3)(C)C
100002484,COC1=CC=C(C2=CC=CC=C21)[C@@H](CC(=O)N)C3=C(C(=O)C=C(O3)CN4CCOCC4)O
100002487,CC1=CC2=C(C=C1)[C@H](CC(O2)(C)C)NC(=O)[C@@H](C)SC3=CC=CC=C3
100002512,C[C@H](C(=O)N[C@H]1CC(OC2=C1C=CC(=C2)OC)(C)C)SC3=CC=CC=C3
100002519,COC(=O)C[C@H](C1=CN=CC=C1)C2=C(C(=CNC2=O)C(=O)OC)O
100002520,C[C@H](CC1=NC=CN=C1)N(C)C(=O)C2=NOC3=C2CCCC3
100002522,COC(=O)C[C@@H](C1=CN=CC=C1)C2=C(C(=CNC2=O)C(=O)OC)O
100002524,C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)CN
100002540,CC[C@@H](C1=CC(=C(C=C1)C)C)NC(=O)[C@@H](C)SC2=CC=CC=C2
100002541,COC1=C(C2=C(C=C1)[C@@H]3N(C(=O)C4=CC=CC=C4N3C2=O)CC(=O)NCCN5C=CC=C5)OC
100002547,CC[C@H](C)[C@H](C(=O)N1C[C@@H]2C[C@H](C1)C3=CC=CC(=O)N3C2)N4CC5=CC=CC=C5C4=O
100002548,CC[C@@H](C1=CC(=C(C=C1)C)C)NC(=O)[C@H](C)SC2=CC=CC=C2
100002550,C1[C@H]2CN(C[C@@H]1C3=CC=CC(=O)N3C2)C(=O)CC4=NNC(=O)C5=CC=CC=C54
100002551,CC[C@H](C1=C(C=C(C=C1)C)C)NC(=O)[C@@H](C)SC2=CC=CC=C2
100002554,CC[C@@H](C1=C(C=C(C=C1)C)C)NC(=O)[C@@H](C)SC2=CC=CC=C2
100002559,C1=CC=C(C=C1)[C@@H]2[C@@H]([C@]2(CO)N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002563,C1=CC=C(C=C1)[C@H]2[C@@H]([C@@]2(CO)N)S(=O)(=O)C3=CC=C(C=C3)Cl
100002564,COC1=C(C2=C(C=C1)[C@@H]3N(C2=O)[C@@H](CS3)C(=O)NCC4CCOCC4)OC
100002576,CC[C@@H](C1=CC(=C(C=C1)OC)OC)NC(=O)[C@H](C)SC2=CC=CC=C2
100002578,C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)CO
100002583,COC1=C(C(=C2[C@@H](CC(=O)OC2=C1)C3=CC4=C(C=C3)N=CC=C4)OC)OC
100002585,C1CC2=C(C1)NC(=O)C(=C2)C(=O)N[C@@H]3CC(=O)N(C3)CC4=CC=CC=C4
100002609,C[C@H](C(=O)NCC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)SC3=CC=CC=C3
100002610,COC1=CC(=C(C=C1)N2C[C@@H](CC2=O)C(=O)N3CCCC[C@H]3C4=CN=CC=C4)OC
100002622,CC(C)C(=O)NC1=CN=C(C=C1)SC[C@@H]2CCCN3[C@@H]2CCCC3
100002631,C[C@H](C(=O)N(C)CC1=NC(=NO1)C2=CC=CC=C2)SC3=CC=CC=C3
100002637,CN1C(=O)C(=CNC1=O)CC(=O)N[C@@H](CC2=CC=NC=C2)C3CC(C3)O
100002646,COC[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)N
100002650,C[C@H](C1=NN2CCN(CC2=C1)C(=O)CC3=C(CCC3=O)C4=CC=CC=C4)O
100002654,CCOC[C@]1([C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)N
100002655,C[C@@H](C(=O)N(C)CC1=NC(=NO1)C2=CC(=CC=C2)OC)SC3=CC=CC=C3
100002656,CC1=CC(=C(C(=O)O1)[C@H](CC(=O)O)C2=CC(=C(C=C2)OC)O)O
100002658,C[C@H](C(=O)N(C)CC1=NC(=NO1)C2=CC=C(C=C2)OC)SC3=CC=CC=C3
100002662,C1C[C@H](CN(C1)C2=NC=CC=N2)C(=O)NC[C@H]3C[C@H]4C[C@@H]3C=C4
100002663,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CSC=C4
100002666,C[C@H](C(=O)N(C)CC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)SC3=CC=CC=C3
100002675,C[C@@H](C(=O)N(C)CC1=NC(=NO1)C2=CC(=CC=C2)Br)SC3=CC=CC=C3
100002676,C1=CC=C(C=C1)[C@@H]2[C@@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)N
100002678,COC1=C(C=C(C=C1)[C@H](C2CC(C2)O)NC(=O)C3=CC(=O)C(=CN3)OC)F
100002684,CC(C)(C)OC(=O)N[C@@]1([C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C=O
100002708,COC1=CC=C(C=C1)[C@@H]2CC(=O)OC3=C2C4=C(C=C3)C(=O)/C(=C\C5=CC(=C(C=C5OC)OC)OC)/O4
100002712,CN(C)C1=NSC(=N1)N[C@H](C2CC(C2)O)C3=CC4=CC=CC=C4N=C3
100002713,CCOC[C@@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C(=S)N
100002719,COC1=CC=C(C=C1)CCOC2=C(C=CC=C2OC)[C@H](CC(=O)OC)C3=C(C4=CC=CC=C4OC3=O)O
100002720,C1=CC=C(C=C1)[C@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)C(=S)N
100002725,C1C(CC1O)[C@H](CC2=CC=NC=C2)NC(=O)C3=CC(=CN3)Cl
100002726,CC(C)C[C@@H](CC(=O)OC)C1=C(C(=CNC1=O)C(=O)OC)O
100002727,C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)C(=S)N
100002732,CC1=CC(=C(C=C1)C)[C@H](C)NC(=O)[C@H](C)SCC2=CC=CC=C2
100002733,C1=CC=C(C=C1)[C@H]2[C@@H]([C@H]2S(=O)(=O)C3=CC=C(C=C3)Cl)C=O
100002749,COC1=CC=C(C=C1)[C@H]2[C@@H](C2(C#N)C#N)S(=O)(=O)C
100002751,C[C@@H](C(=O)NCCCC1=CC=C(C=C1)F)SCC2=CC=CC=C2
100002754,COC1=CN=CC(=C1)[C@H](C2CC(C2)O)NC(=O)CCC3=CC(=O)NO3
100002756,C[C@H](C(=O)NCCCC1=CC=CC=C1OC)SCC2=CC=CC=C2
100002762,COC1=CC=C(C=C1)[C@H]2[C@@H]([C@@]2(C=O)C#N)S(=O)(=O)C
100002764,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC(=C(C(=C4)F)F)F
100002771,CCOC(=O)[C@]1([C@@H]([C@@H]1S(=O)(=O)C)C2=CC=C(C=C2)OC)C#N
100002781,C[C@H](COC1=CC=C(C=C1)OC)NC(=O)[C@H](C)SCC2=CC=CC=C2
100002789,CC1=CC=C(C=C1)OCCNC(=O)[C@@H](C)SCC2=CC=CC=C2
100002791,CC1=C2C=CN(C2=CC=C1)CC(=O)N3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4
100002792,CC(=O)NCCC(=O)N[C@H](C1CC(C1)O)C2=CC3=C(C=C2)OCC3
100002800,CC(=C)COC1=C(C=CC=C1OC)[C@H]2CC(=O)OC3=C2C4=C(C=C3)C(=O)/C(=C/C5=C(C(=CC=C5)OC)OC)/O4
100002801,COC1=CC=C(C=C1)[C@H]2[C@@H]([C@@]2(C#N)C(=O)O)S(=O)(=O)C
100002802,C[C@H](C(=O)NCCCC1=CC(=CC=C1)OC(C)C)SCC2=CC=CC=C2
100002803,CC1=CC(=C(C(=O)O1)[C@H](CC(=O)OC)C2=CC=CC=C2)O
100002806,CC1=CC(=C(C(=O)O1)[C@@H](CC(=O)OC)C2=CC=CC=C2)O
100002809,C[C@H](C(=O)NCCCC1=CC=C(C=C1)OC(C)C)SCC2=CC=CC=C2
100002812,COC1=CC=C(C=C1)[C@@H]2[C@@H]([C@]2(C#N)N)S(=O)(=O)C
100002818,COC1=CC=C(C=C1)[C@@H]2[C@H]([C@]2(C#N)N)S(=O)(=O)C
